,Id,Expected,Rooms,SqrMeters,Floor,Location
71,72,355000,2,48.0,1,Poznań Piątkowo ul. Os. Stefana Batorego
72,73,370496,3,66.16,1,Poznań Wilda ul. Rolna 37 I 39
73,74,325000,2,38.0,1,Poznań Nowe Miasto Rataje ul. Katowicka Milczańska
74,75,339000,3,58.0,1,Poznań Jeżyce Podolany Piątkowo
75,76,159000,1,28.0,1,Poznań Swarzędz ul. Os. Zygmunta Iii Wazy
76,77,185000,2,49.8,1,Poznań Nowe Miasto ul. Głuszyna
77,78,470000,4,69.0,3,Poznań Naramowice
78,79,259000,2,41.6,1,Poznań Naramowice ul. Błażeja
79,80,272021,2,46.7,1,Poznań Nowe Miasto ul. Smolna 13 D
80,81,329000,3,70.0,2,Poznań Wilda ul. Madalińskiego
81,82,245000,3,48.3,3,Poznań Grunwald ul. Bułgarska
82,83,319000,3,66.5,7,Poznań Rataje ul. Os. Stare Żegrze
83,84,273000,3,79.0,14,Poznań Rataje Malta Starołęka Chartowo Śródk ul. Armii Krajowej
84,85,209000,2,40.0,10,Poznań Grunwald Górczyn Ogrody Łazarz Centrum ul. Kordeckiego- Niezależy Układ Balkon!!!
85,86,364000,3,65.0,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki
86,87,219000,1,39.0,3,Poznań Centrum ul. Wroniecka
87,88,180000,2,38.0,2,Poznań Łazarz Górczyn Wilda ul. Klaudyny Potockiej
88,89,185000,2,38.0,4,Poznań Grunwald
89,90,290455,2,47.6,4,Poznań Winogrady ul. Hawelańska
90,91,155000,2,53.0,1,Poznań Owińska ul. Owińśka
91,92,549000,3,81.0,3,Poznań Winogrady ul. Żniwna
92,93,241879,2,39.98,1,Poznań Winogrady ul. Hawelańska
93,94,247500,1,41.33,2,Poznań Winogrady ul. Żniwna
94,95,690000,5,138.0,1,Poznań Centrum
95,96,275000,2,48.58,4,Poznań Stare Miasto ul. Piaskowa
96,97,255000,2,58.0,2,Poznań ul. Rolna
97,98,202134,1,34.26,1,Poznań Winogrady ul. Hawelańska Lechicka
98,99,220000,2,43.7,2,Poznań Nowe Miasto Rataje
99,100,302424,1,31.21,3,Poznań Stare Miasto ul. Dominikańska
100,101,499000,2,59.0,5,Poznań Centrum Stary Rynek Stare Miasto ul. Garbary Solna Wysoki Standard! Nowe! Okna
101,102,600000,3,60.15,1,Poznań Chwaliszewo ul. Tylne Chwaliszewo
102,103,239174,2,38.89,3,Poznań Winogrady ul. Hawelańska
103,104,488341,4,77.96,7,Poznań Winogrady ul. Hawelańska
104,105,210000,2,38.0,2,Poznań Łazarz ul. Łukaszewicza
105,106,275000,3,53.0,1,Poznań Winogrady ul. Oś. Zwycięstwa 26
106,107,178000,1,26.0,2,Poznań Nowe Miasto ul. Śródka
107,108,504000,3,80.27,1,Poznań Jeżyce ul. Szamotulska
108,109,229000,2,38.0,11,Poznań Poznań-Stare Miasto ul. Os. Przyjaźni
109,110,295000,2,48.0,1,Poznań Łazarz
110,111,340000,2,45.0,4,Poznań Winogrady ul. Pod Lipami
111,112,346270,2,55.85,4,Poznań Winogrady ul. Hawelańska Lechicka
112,113,210000,1,40.7,2,Poznań Grunwald ul. Grochowska 46
113,114,375000,2,62.0,1,Poznań Winogrady Piątkowo Sołacz Naramowice ul. Czapla
114,115,299000,3,45.0,4,Poznań Grunwald ul. Bukowska 132
115,116,265000,2,50.0,4,Poznań Wilda ul. Chłapowskiego
116,117,397000,3,91.0,2,Poznań Wilda ul. Fabryczna
117,118,450000,4,124.0,3,Poznań Grunwald Łazarz ul. Skryta Matejki
118,119,279000,2,45.41,1,Poznań Nowe Miasto ul. Karpia
119,120,235000,2,48.8,5,Poznań Nowe Miasto ul. 2 Ładne Pokoje W Mdm !
120,121,359000,3,58.0,1,Poznań Poznań-Grunwald ul. Grunwaldzka
121,122,276364,3,48.4,1,Poznań Nowe Miasto ul. Smolna 13 D
122,123,450000,3,68.9,1,Poznań Naramowice ul. Błażeja
123,124,290000,2,49.0,1,Poznań Śródka
124,125,239000,2,46.0,1,Poznań Stare Miasto ul. Os. Łokietka
125,126,333060,3,54.6,4,Poznań ul. Umultowska
126,127,319000,2,46.0,1,Poznań Rataje Nowe Miasto Malta ul. Bliźniąt
127,128,277000,2,46.1,3,Poznań Naramowice Piątkowo Winogrady ul. Sielawy
128,129,381457,4,69.23,1,Poznań Nowe Miasto ul. Smolna 13 D
129,130,326430,2,47.0,1,Poznań Stare Miasto Centrum ul. Strzelecka Półwiejska
130,131,550000,2,60.0,1,Poznań Grunwald/Łazarz ul. Wojskowa
131,132,246000,2,37.0,10,Poznań Bonin
132,133,225000,2,42.2,11,Poznań Grunwald Górczyn ul. Galileusza
133,134,210000,2,50.0,2,Poznań Ogrody Jeżyce ul. Szamotulska
134,135,235582,2,38.62,3,Poznań Winogrady ul. Hawelańska
135,136,350000,2,56.6,1,Poznań Grunwald
136,137,143000,1,18.0,9,Poznań Jeżyce Winiary Winogrady ul. Turkusowa
137,138,340000,3,65.0,2,Poznań Winogrady ul. Os. Kosmonautów
138,139,225000,2,49.0,1,Poznań Grunwald Łazarz ul. Stablewskiego Potockiej
139,140,230000,2,50.0,7,Poznań Rataje Centrum Jeżyce Łazarz ul. Piastowskie Os.
140,141,385000,2,46.0,3,Poznań Nowe Miasto ul. Katowicka Nowy Luks. Apartamentowiec
141,142,169000,2,40.0,1,Poznań Wilda ul. 28 Czerwca 1956r. Kosińskiego Mdm
142,143,456872,3,71.7,4,Poznań Grunwald ul. Kamiennogórska
143,144,245000,2,42.9,10,Poznań Rataje ul. Czecha
144,145,355000,3,79.0,11,Poznań Nowe Miasto ul. 3 Pokoje Słoneczne Os.Orła Białego
145,146,235000,2,40.0,1,Poznań Wilda
146,147,340000,1,74.0,2,Poznań Poznań ul. Sobieskiego
147,148,169000,2,26.0,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki
148,149,385000,4,90.0,1,Poznań ul. Dębowa
149,150,340000,2,45.0,4,Poznań Naramowice ul. Naramowicka
150,151,173000,1,32.0,1,Poznań Grunwald Górczyn Łazarz Centrum Ogrody ul. Keplera - Polecam!!!
151,152,279000,4,64.0,7,Poznań Os. Kopernika ul. Galileusza
152,153,220955,2,37.45,1,Poznań ul. Karpia 25
153,154,229000,1,35.09,3,Poznań Stare Miasto Winogrady
154,155,270108,2,44.28,2,Poznań Winogrady ul. Hawelańska
155,156,322558,3,56.49,3,Poznań Nowe Miasto ul. Smolna 13 D
156,157,180000,1,27.0,8,Poznań Winogrady Piątkowo Sołacz ul. Kosmonautów
157,158,348000,2,54.8,3,Poznań Piątkowo
158,159,339000,3,73.0,5,Poznań Grunwald
159,160,353882,3,59.98,1,Poznań Grunwald ul. Barwicka 14
160,161,282560,2,44.15,7,Poznań Winogrady ul. Hawelańska
161,162,465000,4,90.0,1,Poznań Górczyn ul. Ostrobramska
162,163,365000,2,61.36,1,Poznań Łazarz ul. Po Kapitalnym Remoncie
163,164,250000,2,49.0,3,Poznań Winogrady ul. Piątkowska
164,165,320000,2,46.0,2,Poznań Winogrady ul. Żniwna - Modernistyczny Budynek !!!
165,166,225000,2,37.4,2,Poznań Grunwald ul. Bułgarska
166,167,155000,1,53.0,1,Poznań ul. Czerwonak/Owińska Mdm
167,168,201562,1,32.51,4,Poznań Winogrady ul. Hawelańska
168,169,250000,2,47.2,8,Poznań Bonin ul. Lazurowa
169,170,233000,2,42.0,3,Poznań Jerzyce ul. Koronna
170,171,220000,2,38.0,3,Poznań Grunwald ul. Marcelińska/Bułgarska
171,172,210000,2,44.0,2,Poznań Rataje ul. Os. Bohaterów Ii Wojny Światowej
172,173,289000,3,62.6,1,Poznań Rataje ul. Os. Przemysława
173,174,189000,1,30.0,1,Poznań Górczyn Grunwald Łazarz Jeżyce ul. Krauthofera
174,175,160000,1,29.0,1,Poznań Łazarz ul. Łukaszewicza
175,176,326073,3,53.02,1,Poznań Winogrady ul. Hawelańska
176,177,259000,4,66.6,8,Poznań Grunwald ul. Newtona
177,178,375000,4,95.0,3,Poznań Łazarz
178,179,310208,2,48.47,7,Poznań Piątkowo ul. Kurpińskiego
179,180,415000,3,76.4,1,Poznań Jeżyce Strzeszyn ul. Horacego
180,181,190000,2,43.0,1,Poznań Starołęka ul. Głuszyna
181,182,246326,2,39.73,4,Poznań Winogrady ul. Hawelańska
182,183,184000,1,35.0,1,Poznań ul. Kasprzaka Łazarz Głogowska
183,184,245877,2,39.98,5,Poznań Winogrady ul. Hawelańska
184,185,172000,1,30.0,8,Poznań Rataje
185,186,427000,2,51.0,1,Poznań Nowe Miasto Rataje Malta Polanka ul. Milczańska Taras I Loggia!!! Nowość!
186,187,719556,4,98.3,1,Poznań ul. Droga Dębińska 19
187,188,188500,1,29.0,1,Poznań Grunwald ul. Matejki
188,189,1140000,6,193.0,1,Poznań Naramowice ul. Błażeja
189,190,199000,1,25.04,4,Poznan Centrum ul. Topolowa
190,191,255824,2,43.36,1,Poznań Grunwald ul. Barwicka
191,192,280000,2,69.0,3,Poznań Wilda ul. Traugutta
192,193,250000,2,49.7,3,Poznań Grunwald
193,194,276000,3,53.0,3,Poznań Winogrady ul. Osiedle Kosmonautów
194,195,399000,3,60.7,2,Poznań Jeżyce Winiary ul. Tadeusza Rejtana
195,196,236160,2,38.4,5,Poznań Winogrady ul. Hawelańska
196,197,369000,2,56.3,1,Poznań Stare Miasto Centrum Wilda
197,198,450000,5,130.0,1,Poznań Wilda Dębiec Centrum ul. Rejon Ul. Rolnej
198,199,245000,3,48.0,3,Poznań Grunwald ul. Ul.Bułgarska
199,200,900000,5,154.3,4,Poznań Centrum ul. Łąkowa
200,201,415000,2,64.6,1,Poznań Rataje ul. Św. Rocha
201,202,650000,4,92.5,1,Poznań Grunwald ul. Nehringa
202,203,300695,3,47.19,3,Poznań Naramowice ul. Maków Polnych
203,204,409000,3,109.7,3,Poznań Jeżyce ul. Poznańska
204,205,216000,2,36.7,10,Poznań Bonin ul. Turkusowa Z Garażem
205,206,599000,4,147.0,1,Poznań Grunwald ul. Opalenicka Marcelińska
206,207,217404,2,35.64,1,Poznań Stare Miasto ul. Winogrady Naramowice
207,208,281556,2,42.66,8,Poznań Piątkowo ul. Kurpińskiego
208,209,220000,2,34.0,1,Poznań Winogrady ul. Zbożowa
209,210,363133,3,59.53,6,Poznań Piątkowo ul. Kurpińskiego
210,211,223452,2,37.18,5,Poznań Nowe Miasto ul. Smolna 13 D
211,212,245700,3,58.5,2,Poznań ul. Mostowa
212,213,269000,2,45.0,3,Poznań Jeżyce ul. Mylna
213,214,248091,2,40.34,3,Poznań Winogrady ul. Hawelańska
214,215,308066,3,50.92,4,Poznań Winogrady ul. Hawelańska
215,216,323357,3,56.36,1,Poznań Nowe Miasto ul. Smolna 13 D
216,217,385000,3,95.77,3,Poznań Stare Miasto Centrum ul. Krakowska
217,218,323983,1,44.26,3,Poznań ul. Droga Dębińska 19
218,219,469000,4,92.0,2,Poznań Różany Potok ul. Drewsa
219,220,274900,2,49.0,11,Poznań Piątkowo ul. Os. Sobieskiego
220,221,400000,3,69.0,4,Poznań Rataje ul. Os. Rusa
221,222,370000,3,72.0,4,Poznań Jeżyce ul. Mylna
222,223,269000,2,45.0,8,Poznań Rataje Starołęka Warszawskie Chartowo Śró ul. Tysiąclecia
223,224,159000,2,35.0,1,Poznań Zawady
224,225,334573,4,72.93,1,Poznań Plewiska Luboń Dąbrówka Komorniki Grunwald ul. Szkolna 107
225,226,289000,3,66.3,1,Poznań Grunwald Łazarz ul. Józefa Chociszewskiego
226,227,239000,2,47.0,9,Poznań Winiary ul. Os.Zwycięstwa
227,228,516101,3,77.03,6,Poznań Jeżyce ul. Botaniczna
228,229,245000,2,46.0,2,Poznań Podolany ul. 2 Pokoje Cicha Okolica ( Jezioro! )
229,230,531544,2,45.47,2,Poznań Stare Miasto ul. Dominikańska
230,231,409000,3,93.0,1,Poznań Wilda ul. Wilda/ Wierzbięcice / Czajcza/Św.Jerzego
231,232,299000,3,59.1,1,Poznań Piątkowo ul. Os. Łokietka
232,233,195500,1,33.5,1,Poznań Grunwald Łazarz ul. Kanałowa
233,234,399000,2,66.7,2,Poznań Jeżyce ul. Dąbrowskiego
234,235,182247,1,37.6,2,Poznań Grunwald ul. Promienista
235,236,309000,3,59.0,4,Poznań Nowe Miasto
236,237,315000,3,79.0,8,Poznań Rataje ul. Os. Orła Białego
237,238,195000,2,38.3,2,Poznań Winogrady ul. Os. Pod Lipami
238,239,220000,2,38.0,3,Poznań Grunwald ul. Bułgarska
239,240,232000,1,33.9,1,Poznań Wilda ul. Górna Wilda
240,241,499000,2,60.0,7,Poznań Rataje ul. Os. Piastowskie
241,242,585000,3,88.0,1,Poznań Stare Miasto ul. Kwiatowa
242,243,470000,4,69.0,3,Poznań Naramowice ul. Karpia
243,244,250000,2,49.7,3,Poznań Grunwald Grunwald Południe ul. Chociszewskiego
244,245,227949,2,38.57,1,Poznań Nowe Miasto ul. Smolna 13 D
245,246,215000,2,46.0,1,Poznań Łazarz
246,247,615000,3,103.0,4,Poznań Jeżyce ul. Dąbrowskiego
247,248,279790,1,39.97,4,Poznań Jeżyce ul. Poznańska 1-3
248,249,236600,1,36.0,2,Poznań Jeżyce
249,250,224000,2,38.0,8,Poznań ul. Os. Kosmonautów
250,251,255000,2,42.9,10,Poznań Rataje ul. Czecha
251,252,470000,3,69.0,3,Poznań Naramowice ul. Karpia
252,253,310000,3,64.0,8,Poznań Rataje ul. Os. Orła Białego
253,254,280000,2,44.5,1,Poznań Górczyn
254,255,324900,4,74.0,3,Poznań Piątkowo ul. Os.Bolesława Chrobrego
255,256,299000,2,43.1,1,Poznań Grunwald ul. Wyspiańskiego
256,257,328842,3,57.19,1,Poznań ul. Karpia 25
257,258,379500,2,63.25,4,Poznań Piątkowo ul. Kurpińskiego
258,259,360000,3,109.5,4,Poznań Jeżyce Centrum ul. Jackowskiego Kraszewskiego
259,260,274000,2,55.8,2,Poznań Centrum ul. Kościuszki
260,261,311766,3,54.6,2,Poznań Nowe Miasto ul. Smolna 13 D
261,262,250000,2,50.0,3,Poznań Grunwald ul. Chociszewskiego
262,263,320000,3,76.0,1,Poznań Grunwald ul. Dopłata W Mdm
263,264,341248,2,55.04,1,Poznań Winogrady ul. Hawelańska
264,265,259997,2,44.52,1,Poznań Piątkowo ul. Mateckiego 4c Miejsce Parkingowe W Cenie
265,266,351000,2,62.5,2,Poznań Poznań-Grunwald ul. Jana Matejki
266,267,150000,2,40.0,1,Poznań Jeżyce ul. Grudzieniec
267,268,220000,1,30.0,2,Poznań Górczyn ul. Hetmańska / Głogowska
268,269,231353,2,48.22,4,Poznań ul. Grudzińskiego 7 Swarzędz
269,270,420000,5,91.0,4,Poznań Jeżyce Centrum ul. Kraszewskiego
270,271,206205,1,34.95,1,Poznań Winogrady ul. Hawelańska
271,272,265000,3,47.0,3,Poznań Rataje ul. Os. Armii Krajowej
272,273,389000,3,60.0,2,Poznań Poznań-Grunwald ul. Jana Matejki
273,274,149000,1,21.0,5,Poznań ul. Szpitalna
274,275,238000,2,40.0,3,Poznań Łazarz ul. Łukaszewicza
275,276,265000,2,50.0,1,Poznań Grunwald ul. Newtona
276,277,239000,2,47.0,4,Poznań ul. Łokietka Osiedle
277,278,183000,1,37.0,2,Poznań Grunwals ul. Raszyńska
278,279,255000,2,42.42,10,Poznań Nowe Miasto ul. Os. Czecha
279,280,279000,2,43.5,1,Poznań Grunwald ul. Raszyńska
280,281,235000,2,53.2,1,Poznań Grunwald ul. Husarska Grochowska
281,282,299000,4,73.78,1,Poznań Grunwald ul. Plewiska Ul. Fabianowska 77
282,283,305361,2,48.47,3,Poznań Piątkowo ul. Kurpińskiego
283,284,185000,1,35.0,1,Poznań Rataje Śródka Zawady Malta ul. Tomickiego
284,285,269070,2,44.92,3,Poznań Jeżyce Grunwald Stare Miasto ul. Jackowskiego 27
285,286,355000,4,74.0,3,Poznań ul. Os. Bolesława Chrobrego
286,287,230000,2,39.0,6,Poznań Górczyn
287,288,298000,3,64.0,1,Poznań Grunwald ul. Raszkowska
288,289,264496,2,43.36,1,Poznań Piątkowo ul. Kurpińskiego
289,290,220000,2,47.0,1,Poznań Grunwald ul. Łazarz Hetmańska
290,291,690000,5,138.0,1,Poznań Rataje ul. Rataje Centrum Serafitek Św. Rocha
291,292,279000,2,49.8,1,Poznań Poznań-Stare Miasto ul. Garbary
292,293,263000,3,44.0,1,Poznań Grunwald
293,294,284684,2,47.6,5,Poznań Winogrady ul. Wilczak 20
294,295,230000,2,41.2,2,Poznań Grunwald ul. Hetmańska
295,296,218466,2,36.11,4,Poznań Winogrady ul. Hawelańska
296,297,350000,4,75.76,10,Poznań Nowe Miasto ul. Stare Żegrze
297,298,306000,1,45.69,5,Poznań Wilda Dębiec Centrum ul. Przemysłowa
298,299,480000,3,66.0,1,Poznań ul. 23 Lutego
299,300,210000,3,49.0,4,Poznań Grunwald ul. Bułgarska
300,301,344000,3,62.0,1,Poznań Wilda Centrum Dęciec ul. Powstańcza
301,302,99000,1,22.76,1,Poznań Golęcin ul. Szydłowska 41
302,303,340000,4,70.8,4,Poznań Łazarz
303,304,312682,2,51.7,1,Poznań Grunwald ul. Kamiennogórska
304,305,209000,3,43.0,5,Poznań Raszyn
305,306,365000,3,66.0,1,Poznań Szczepankowo ul. Roślinna
306,307,399000,4,85.25,4,Poznań Wilda Wilda ul. Św. Jerzego
307,308,239000,2,42.0,2,Poznań Jeżyce Sołacz Centrum Winogrady Ogrody ul. Dąbrowskiego - Niski Blok!!!
308,309,274000,3,77.0,16,Poznań Rataje Śródka Centrum Wilda Łazarz Zawady ul. Armii Krajowej - Okazja!!! Tylko U Nas!!!
309,310,590000,3,73.8,1,Poznań Rataje ul. Szczytnicka
310,311,165000,1,29.0,1,Poznań Łazarz ul. Łukaszewicza
311,312,265000,3,47.0,2,Poznań Rataje Zawady Debiec Centrum ul. Powstań Narodowych Os.
312,313,315000,2,75.0,3,Poznań Grunwald Łazarz ul. Hetmańska Głogowska Jarochowskiego
313,314,600000,3,60.0,1,Poznań Chwaliszewo
314,315,350000,2,92.0,1,Poznań Plewiska ul. Półncona
315,316,150000,1,29.0,1,Poznań Jeżyce ul. Jana Henryka Dąbrowskiego 71
316,317,239000,2,42.0,2,Poznań Rataje ul. Os. Lecha
317,318,324000,3,68.0,6,Poznań Grunwald ul. Hetmańska
318,319,275000,3,64.0,2,Poznań Rataje ul. Stare Żegrze
319,320,335000,3,71.0,11,Poznań Piątkowo ul. Os. Bolesława Chrobrego
320,321,259000,2,49.0,8,Poznań Piątkowo ul. Osiedle Bolesława Śmiałego
321,322,230000,3,42.4,3,Poznań Jeżyce ul. Mylna
322,323,200000,1,29.0,2,Poznań Grunwald
323,324,310000,3,65.0,4,Poznań Piątkowo ul. Os. Wichrowe Wzgórze
324,325,325000,3,61.0,3,Poznań Ogrody
325,326,225000,2,42.2,10,Poznań Grunwald Os. Kopernika ul. Newtona
326,327,249999,3,54.0,1,Plewiska Rosnowo Komorniki Poznań Rosnowo
327,328,279000,3,64.0,7,Poznań Rataje ul. Os. Orła Białego
328,329,438691,3,77.4,2,Poznań Grunwald ul. Kamiennogórska
329,330,340000,3,65.0,2,Poznań Winogrady ul. Kosmonautów
330,331,257766,2,43.0,3,Poznań Stare Miasto Winogrady Wilczak ul. Hawelańska Serbska Wilczak
331,332,431865,3,68.55,2,Poznań Nowe Miasto ul. Milczańska
332,333,399000,4,86.0,2,Poznań Nowe Miasto ul. Ziemowita
333,334,329999,4,74.96,1,Poznań Grunwald Junikowo
334,335,300000,3,73.4,2,Poznań Grunwald ul. Hetmańska
335,336,390000,4,130.0,1,Poznań Wilda ul. 28 Czerwca
336,337,219999,3,47.0,1,Plewiska Rosnowo Komorniki Poznań
337,338,259000,2,98.96,1,Poznań Wilda ul. Czwartaków
338,339,299000,2,49.0,2,Poznań Naramowice
339,340,190000,1,37.5,1,Poznań Grunwald Plewiska ul. Szałwiowa
340,341,379000,3,74.0,1,Poznań Ogrody Centrum Jeżyce Grunwald ul. 2 Poziomowy Apartament Z Ogródkiem
341,342,230000,2,53.86,1,Poznań Wilda ul. Rolna
342,343,217030,2,39.46,1,Poznań Wilda ul. Rolna 37 I 39
343,344,214000,2,38.0,1,Poznań Winogrady Piątkowo Sołacz ul. Przyjaźni Os.
344,345,150000,1,27.0,1,Poznań Poznań-Wilda
345,346,222000,2,38.0,1,Poznań Winogrady Piątkowo Sołacz Centrum Naramow ul. Kosmonautów - Po Remoncie!!!
346,347,240000,2,39.0,2,Poznań Wilda Dębiec ul. Czeremchowa
347,348,185000,2,49.8,1,Poznań Starołęka ul. Głuszyna
348,349,264000,2,48.27,3,Poznań Naramowice
349,350,577000,2,57.0,3,Poznań Grunwald ul. Wojskowa Aleja Kasztanowa City Park Grun
350,351,333060,2,79.3,2,Poznań Centrum ul. Mostowa
351,352,309000,3,69.5,4,Poznań Grunwald ul. Raszkowska
352,353,199000,2,29.0,3,Poznań Grunwald Jeżyce Górczyn Ogrody Raszyn ul. Bukowska
353,354,285000,3,48.0,2,Poznań Winogrady Winiary Piatkowo Sołacz ul. Przyjaźni
354,355,350000,3,64.0,1,Poznań ul. Zbyłowita
355,356,230000,1,33.17,1,Poznań Stare Miasto Święty Marcin ul. Święty Marcin
356,357,349566,3,61.22,1,Poznań Nowe Miasto ul. Smolna 13 D
357,358,443331,3,70.37,5,Poznań Jeżyce ul. Botaniczna
358,359,318000,3,67.0,10,Poznań Rataje ul. Stare Żegrze
359,360,375000,2,60.0,1,Poznań Winogrady ul. Serbska / Naramowicka 47
360,361,268450,2,45.5,1,Poznań Winogrady ul. Hawelańska
361,362,200000,2,38.0,5,Poznań Rataje
362,363,320000,3,62.0,3,Poznań ul. Jana Iii Sobieskiego
363,364,173300,1,31.5,3,Poznań Grunwald ul. Kanałowa Kolejowa Graniczna
364,365,339000,2,40.0,1,Poznań Centrum Garbary Stare Miasto Starówka ul. Szewska
365,366,344141,2,54.47,8,Poznań Winogrady ul. Hawelańska
366,367,175000,1,32.0,10,Poznań Grunwald Centrum Górczyn Łazarz Ogrody ul. Galileusza - Ładny Układ!!!
367,368,456192,3,76.8,4,Poznań Grunwald ul. Kamiennogórska
368,369,313572,2,54.27,4,Poznań Nowe Miasto ul. Ul. Milczańska 1
