OwnerAge,Gender,Breed,DogAge
50,W,Yorkshire Terrier,7
40,W,Belgischer Schäferhund,11
50,M,Bergamasker,13
70,M,Labrador Retriever,10
70,M,Border Collie,15
70,M,Lagotto Romagnolo,5
80,M,Jack Russel Terrier,12
70,M,Dobermann,11
60,W,Deutscher Schäfer,10
60,W,Berner Sennenhund,7
50,M,Chow Chow,12
50,M,Deutscher Schäfer,9
60,W,Border Terrier,10
70,M,Mudi,4
70,M,Boxer,0
70,M,Papillon,10
60,M,Yorkshire Terrier,7
70,M,Dachshund,2
70,W,Cairn Terrier,12
50,M,Tibet Terrier,15
50,M,Border Collie,11
60,W,Mops,12
60,W,Mops,12
50,M,Italienisches Windspiel,3
60,W,Lagotto Romagnolo,9
50,M,Holländischer Schäfer,5
50,W,Welsh Springer Spaniel,12
50,W,Yorkshire Terrier,7
70,M,Pinscher,12
40,W,Berner Sennenhund,4
60,W,Labrador Retriever,8
60,W,Labrador Retriever,4
50,W,Labrador Retriever,1
50,M,Deutsche Dogge,1
50,M,Labrador Retriever,8
50,M,Deutscher Schäfer,6
40,M,Magyar Viszla,4
60,M,Labrador Retriever,7
60,M,Labrador Retriever,3
50,W,Border Collie,7
50,W,Mops,1
50,W,Zwergpudel,6
40,M,Coton de Tulear,4
50,M,Hovawart,10
50,M,Hovawart,2
50,W,Mops,1
70,W,Labrador Retriever,2
50,M,Beagle,11
50,M,Golden Retriever,13
30,M,Jack Russel Terrier,4
50,W,English Cocker Spaniel,10
40,W,Shih Tzu,2
30,M,Labrador Retriever,5
50,M,Hirtenhund,8
50,W,Pinscher,5
30,M,Mops,0
70,M,Soft Coated Wheaten Terrier,2
60,W,Lagotto Romagnolo,2
50,W,Chihuahua,4
50,W,Prager Rattler,4
50,W,Zwergpinscher,11
50,W,Canaan Dog,6
60,W,Labrador Retriever,12
30,M,Lagotto Romagnolo,0
40,M,Golden Retriever,11
60,M,Deutscher Schäfer,2
40,M,Bouvier,2
999,M,Jack Russel Terrier,4
40,W,Border Collie,2
60,M,Labrador Retriever,7
60,M,Foxterrier,9
40,M,Prager Rattler,1
40,M,Prager Rattler,1
60,M,Appenzeller Sennenhund,9
70,M,Labrador Retriever,8
40,W,Jura Laufhund,11
40,W,Malteser,10
40,W,Papillon,13
40,W,Yorkshire Terrier,5
999,M,Labrador Retriever,8
999,M,Spanischer Wasserhund,10
40,W,Labrador Retriever,3
60,M,Border Collie,13
60,M,Border Collie,4
40,W,Border Collie,0
80,M,Labrador Retriever,8
70,W,Französische Bulldogge,7
50,M,Bayerischer Gebirgsschweisshund,3
50,W,Malteser,10
60,M,Jack Russel Terrier,8
70,M,Pinscher,12
60,W,Labrador Retriever,5
40,W,American Bulldog,9
50,M,Schnauzer,12
70,W,Yorkshire Terrier,7
50,M,Bouvier,6
50,M,Parson Jack Russell Terrier,6
60,M,Labrador Retriever,9
40,W,Jack Russel Terrier,7
40,W,Jack Russel Terrier,0
50,M,Labrador Retriever,6
40,M,Labrador Retriever,4
50,W,Golden Retriever,11
80,W,Malteser,14
50,W,Appenzeller,16
40,M,Beauceron Berge de Beauce,9
80,M,Bichon Havanais,14
50,W,Foxterrier,7
40,M,Dachshund,3
70,W,Labrador Retriever,4
60,W,Yorkshire Terrier,8
60,W,Yorkshire Terrier,8
50,M,Jack Russel Terrier,5
50,M,Dachshund,5
70,W,Rottweiler,9
50,M,Terrier,7
999,M,Border Terrier,9
80,W,Windspiel,13
40,W,Dachshund,4
70,W,Husky,10
50,W,Collie,7
60,W,Irish Setter,6
80,W,Bearded Collie,9
50,M,Deutscher Schäfer,9
50,W,Dachshund,6
80,W,Bichon,15
60,W,Appenzeller,16
60,M,Rottweiler,9
60,M,Labrador Retriever,6
70,M,Labrador Retriever,2
50,W,Labrador Retriever,2
40,W,Labrador Retriever,9
50,M,Labrador Retriever,2
50,W,Labrador Retriever,6
60,M,Tschechoslowakischer Wolfshund,14
60,W,Pudel,8
70,M,Deutscher Wachtelhund,8
80,M,Collie,3
70,W,Cocker Spaniel,11
60,W,Chihuahua,8
80,W,Shih Tzu,8
80,W,Dachshund,10
50,M,Boxer,4
50,M,Deutscher Boxer,10
70,W,Boxer,3
70,M,Tervueren,13
50,W,Parson Jack Russell Terrier,3
40,M,Malteser,9
60,W,Deutscher Schäfer,9
70,M,Zwergpudel,3
80,W,Pudel,9
70,M,Schweizer Niederlaufhund,7
60,W,English Cocker Spaniel,3
80,M,Dachshund,6
50,M,Border Terrier,8
50,M,Border Terrier,4
50,W,Windspiel,15
50,W,Windspiel,10
80,W,Jack Russel Terrier,12
80,M,Mops,5
70,W,Labrador Retriever,5
70,W,Bolonka Zwetna,3
70,M,Labrador Retriever,10
70,M,Labrador Retriever,5
70,M,Labrador Retriever,2
80,W,West Highland White Terrier,10
80,W,Deutscher Schäfer,10
70,W,Irish Terrier,9
60,M,Parson Russell Terrier,12
60,M,Labrador Retriever,9
80,M,Zwergpudel,11
70,W,Tervueren,9
80,W,Berner Sennenhund,4
80,W,Berner Sennenhund,1
60,M,Golden Retriever,4
40,M,Groenendael,0
60,M,Groenendael,5
70,M,Pointer,6
70,W,Cairn Terrier,14
50,W,English Springer Spaniel,2
60,W,Chihuahua,0
80,W,Malteser,11
70,W,Bergamasker,5
40,W,Pudel,15
40,W,Toypudel,4
50,W,Podenco,5
70,W,West Highland White Terrier,14
60,M,Dachshund,2
60,W,Jack Russel Terrier,10
60,W,Parson Terrier,9
70,W,Petit Basset Griffon Vendéen,9
50,W,Golden Retriever,4
70,W,Dachshund,14
60,W,West Highland White Terrier,2
80,W,Labrador Retriever,13
60,W,Irish Setter,14
70,M,Appenzeller Sennenhund,6
70,M,Appenzeller Sennenhund,3
50,W,Golden Retriever,5
70,W,Hovawart,7
60,W,Beagle,2
50,M,Yorkshire Terrier,0
70,W,Shih Tzu,5
70,W,Malteser,1
70,W,Toypudel,1
50,W,Dalmatiner,2
60,W,Toypudel,13
70,M,Beagle,8
60,M,Labrador Retriever,12
50,W,Labrador,0
60,M,Terrier,16
60,M,Border Collie,14
70,W,Mops,8
70,W,Mops,6
70,W,Cocker Spaniel,9
80,M,West Highland White Terrier,9
60,W,Deutscher Boxer,3
60,M,Pinscher,10
80,M,Malteser,5
40,W,Lagotto Romagnolo,3
80,M,Schäfer,7
70,W,Golden Retriever,8
40,W,Groenendael,4
40,W,Tervueren,11
60,W,Rhodesian Ridgeback,5
90,M,Coton de Tulear,5
50,W,Riesenschnauzer,2
70,W,Mops,7
70,M,Hovawart,0
80,M,Grosspudel,11
60,W,Dachshund,4
70,W,Border Collie,13
60,W,West Highland White Terrier,14
60,M,Deutscher Boxer,11
60,W,Scottish Terrier,8
60,W,Scottish Terrier,1
80,W,Tervueren,9
60,W,Parson Jack Russell Terrier,14
40,W,Foxterrier,3
70,M,Zwergpudel,11
60,W,Zwergrauhaardackel,5
60,W,Labrador Retriever,12
60,W,Labrador Retriever,9
60,W,Labrador Retriever,5
50,W,Labrador Retriever,10
50,W,Mops,3
70,W,Labrador Retriever,5
60,W,Labrador Retriever,10
90,W,Foxterrier,11
80,W,Dachshund,12
60,W,Golden Retriever,1
70,W,Deutscher Schäfer,3
70,M,Australian Shepherd,5
50,W,Französische Bulldogge,0
70,M,Pekingese,8
80,W,Mops,0
50,W,Airedale Terrier,1
70,M,Airedale Terrier,6
60,W,Collie,5
50,M,Deutscher Schäfer,3
50,M,Yorkshire Terrier,1
60,W,Italienisches Windspiel,8
50,M,Jack Russel Terrier,3
60,W,Beagle,10
50,W,West Highland White Terrier,12
80,M,Toypudel,12
70,M,Toypudel,10
60,W,Belgischer Schäferhund,14
50,W,Labrador Retriever,0
70,W,Cairn Terrier,2
50,M,Miniature Bull Terrier,4
80,M,Terrier,13
70,M,Jack Russel Terrier,5
70,W,Chihuahua,5
70,M,Deutscher Schäfer,3
50,W,Irish Terrier,0
70,W,Berger des Pyrenées,15
50,W,Tibet Terrier,10
70,M,Golden Retriever,9
90,M,Labrador Retriever,9
60,M,Labrador Retriever,11
80,M,Cairn Terrier,12
80,W,Cocker Spaniel,12
70,W,Yorkshire Terrier,8
70,W,Yorkshire Terrier,7
60,M,Labrador Retriever,11
70,W,Galgo Espanol,6
80,M,Alpenländische Dachsbracke,7
70,W,Sheltie,6
40,W,Dobermann,14
50,W,Malteser,4
30,W,Papillon,12
60,W,Terrier,9
60,W,Golden Retriever,8
70,W,Italienisches Windspiel,3
70,W,Windspiel,3
80,W,Rottweiler,6
80,W,Appenzeller,14
50,W,Cocker Spaniel,6
40,M,Bearded Collie,11
40,M,Bearded Collie,8
40,M,Bearded Collie,5
40,M,Bearded Collie,4
70,W,Labrador Retriever,8
70,W,Labrador Retriever,5
80,M,Pudel,9
50,W,Terrier,16
80,W,Lagotto Romagnolo,2
50,W,Samojede,0
50,W,Bobtail (Old English Shepdog),10
80,W,Yorkshire Terrier,6
70,W,Appenzeller Sennenhund,11
70,W,Border Collie,5
70,M,Border Collie,8
70,M,Spinone,12
70,W,Border Collie,13
60,W,Bolonka Zwetna,2
60,W,Bearded Collie,1
70,W,Dachshund,6
80,M,Labrador Retriever,7
70,W,Dachshund,7
40,W,Beagle,2
70,W,Berner Sennenhund,6
70,W,Border Terrier,12
80,W,Cairn Terrier,3
50,W,Mops,1
70,W,Yorkshire Terrier,8
40,W,Malteser,16
70,W,Yorkshire Terrier,10
60,W,Jack Russel Terrier,3
70,W,Labrador Retriever,5
70,M,Katalanischer Hirtenhund,10
50,W,Labrador Retriever,5
80,W,Pudel,11
60,W,Mittelpudel,10
80,W,Cairn Terrier,2
70,M,Podenco,3
70,M,Parson Terrier,4
80,W,Labrador Retriever,10
60,W,Grosser Schweizer Sennenhund,2
70,W,Alaskan Husky,10
70,W,Bolonka Zwetna,3
70,W,Dachshund,15
30,W,Appenzeller,0
40,W,Labrador Retriever,2
70,W,Labrador Retriever,10
80,W,Lakeland Terrier,12
80,W,Zwergrauhaardackel,14
70,W,Jack Russel Terrier,7
50,W,Lagotto Romagnolo,5
50,M,Spitz,14
50,W,Jack Russel Terrier,14
80,W,Cocker Spaniel,8
80,W,Langhaardackel,9
70,W,Rauhaar Dackel,15
80,W,Golden Retriever,5
50,W,Border Collie,6
60,M,Dachshund,1
60,M,Golden Retriever,1
60,W,Zwergschnauzer,6
50,W,Berger de Picardie,4
60,W,West Highland White Terrier,12
60,W,Sennenhund,11
50,W,Berner Sennenhund,2
40,W,Labrador Retriever,2
70,W,Cairn Terrier,0
40,W,Berner Sennenhund,8
70,M,Airedale Terrier,5
40,W,Chihuahua,9
40,W,Sheltie,6
70,M,Deutsche Dogge,1
80,W,Pekingese,10
40,W,Sennenhund,6
70,W,Chinese Crested Powderpuff,3
50,W,Portugiesischer Wasserhund,7
70,M,Yorkshire Terrier,1
999,M,Deutscher Pinscher,4
50,W,Collie,3
70,M,Pekingese,6
70,M,Pekingese,4
80,M,Bolonka Zwetna,0
60,W,Beagle,8
60,W,Dachshund,2
60,W,Jack Russel Terrier,6
60,M,Jack Russel Terrier,9
80,W,Whippet,2
70,W,Yorkshire Terrier,13
50,W,Shih Tzu,7
80,W,Coton de Tulear,10
70,M,Dachshund,6
60,M,Labrador Retriever,0
70,W,Zwergpudel,12
50,M,Münsterländer,11
50,W,Mittelpudel,8
80,M,Flat Coated Retriever,11
70,W,Labrador Retriever,12
60,M,Kleiner Münsterländer,1
60,M,Terrier,11
70,W,Galgo Espanol,7
40,M,Malteser,16
50,W,Azawakh,6
50,W,Chihuahua,4
50,W,Chinese Crested,0
50,M,Irish Setter,10
30,M,Labrador Retriever,13
60,W,Miniature Australian Shepherd,4
70,W,Zwergrauhaardackel,9
70,M,Beagle,5
70,W,Labrador Retriever,4
60,W,West Highland White Terrier,5
60,M,Deutscher Schäfer,1
50,W,Labrador Retriever,11
70,W,Zwergpudel,6
60,W,Pointer,6
50,W,Cocker Spaniel,0
70,M,Deutscher Schäfer,8
40,W,Border Collie,7
50,M,Labrador Retriever,0
80,M,Golden Retriever,11
70,W,Bolonka Zwetna,1
70,M,Dachshund,5
70,M,Dachshund,4
40,W,Malteser,1
70,W,English Springer Spaniel,8
70,M,Bergamasker,10
60,W,Labrador,1
60,W,Pudel,6
60,W,Pudel,6
70,W,Cairn Terrier,14
40,W,Manchester Terrier,6
70,W,Mops,12
70,W,Mops,11
70,W,Mops,9
70,W,Mops,6
60,M,Labrador Retriever,3
70,W,Pudel,4
70,M,Schäfer,11
60,M,Dachshund,5
50,M,Podenco,4
40,M,Irish Terrier,9
60,W,Rehpinscher,15
70,W,Tervueren,8
60,W,Riesenschnauzer,11
60,W,Riesenschnauzer,7
70,M,Berger Picard,3
60,M,Jack Russel Terrier,13
30,M,Chihuahua,4
50,W,Yorkshire Terrier,14
60,M,Zwergpudel,11
60,M,Collie,8
40,W,Deutsche Dogge,6
40,W,Yorkshire Terrier,12
90,W,Pudel,4
70,W,Rottweiler,10
60,W,Jack Russel Terrier,1
70,W,Collie,4
50,M,Flat Coated Retriever,5
60,W,Pudel,3
60,M,Cocker Spaniel,15
60,M,Cocker Spaniel,6
60,W,Dachshund,8
70,W,Toypudel,10
70,W,Phalène,13
60,W,Sheltie,11
60,M,Bearded Collie,7
70,W,Dachshund,7
70,W,Rauhaar Dackel,13
70,W,Golden Retriever,13
50,W,Chow Chow,7
80,M,Chow Chow,7
50,W,Border Collie,4
50,W,Appenzeller Sennenhund,1
80,W,Zwergpudel,10
50,W,Tibet Terrier,14
70,W,Pekingese,6
70,W,Silky Terrier,15
70,M,Irish Soft Coated Wheaten Terrier,2
50,M,Yorkshire Terrier,11
50,W,Labrador Retriever,8
70,W,Parson Jack Russell Terrier,4
60,M,Golden Retriever,10
70,W,Labrador Retriever,9
60,W,Jack Russel Terrier,12
60,W,Dachshund,5
50,M,Entlebucher Sennenhund,4
50,W,Islandhund,0
80,W,Yorkshire Terrier,6
50,M,Rehpinscher,12
40,W,Border Collie,0
60,W,Berner Sennenhund,8
60,M,Havaneser,5
60,M,Fila Brasileiro,0
50,W,Maremmano,9
50,W,Border Collie,8
50,W,Cairn Terrier,8
70,W,Jack Russel Terrier,10
70,W,Yorkshire Terrier,7
60,W,Schäfer,4
60,W,Dachshund,16
60,W,Dachshund,16
60,W,Dachshund,15
60,W,Dachshund,9
60,W,Dachshund,9
60,W,Dachshund,8
60,W,Dachshund,8
60,W,Dachshund,6
60,W,Dachshund,5
60,W,Dachshund,5
60,W,Dachshund,4
60,M,Bulldog,11
50,W,Papillon,4
50,W,Papillon,3
70,W,Kromfohrländer,10
60,W,Border Collie,8
60,M,Boxer,7
60,W,Chow Chow,12
50,W,Havaneser,6
50,W,Yorkshire Terrier,9
60,W,Beagle,3
50,W,Rottweiler,5
60,W,West Highland White Terrier,5
60,W,Bichon frisé,0
60,M,Setter,7
70,W,Dachshund,3
70,W,Dachshund,0
60,W,Dachshund,10
80,M,Beagle,4
70,W,Zwergschnauzer,6
60,M,Golden Retriever,9
50,W,Labrador Retriever,2
60,W,Yorkshire Terrier,5
60,W,Papillon,10
70,W,Dachshund,7
60,W,Cocker Spaniel,7
70,W,Lagotto Romagnolo,6
60,W,Tibet Terrier,5
70,W,Appenzeller Sennenhund,5
60,W,Golden Retriever,9
80,M,Dachshund,0
70,W,Bergamasker,6
80,M,Golden Retriever,4
60,W,Yorkshire Terrier,4
80,W,Cocker Spaniel,8
60,W,Border Terrier,1
50,W,Jack Russel Terrier,6
80,W,Schäfer,12
60,W,Dachshund,4
50,M,Toypudel,9
90,W,Bearded Collie,11
70,M,Bulgarischer Sennenhund,11
70,M,Jack Russel Terrier,8
60,W,Malteser,4
70,W,Schäfer,10
70,M,Samojede,6
40,W,Tibet Terrier,11
40,W,Tibet Terrier,9
70,W,Norwich Terrier,3
50,W,Continental Bulldog,5
50,W,Continental Bulldog,4
50,W,Continental Bulldog,2
50,W,Continental Bulldog,0
50,W,Continental Bulldog,0
50,W,Jack Russel Terrier,16
50,W,Jack Russel Terrier,14
70,W,Französische Bulldogge,1
50,M,West Highland White Terrier,13
50,M,West Highland White Terrier,6
80,M,Labrador Retriever,13
80,M,Zwergdackel,11
80,W,Pudel,12
80,W,Pudel,11
70,W,Briard,14
70,W,Gos d'Atura Català,9
70,M,Labrador Retriever,11
70,M,Labrador Retriever,0
80,W,Pudel,1
70,W,Tibet Terrier,10
40,M,Foxterrier,16
60,W,Tibet Terrier,16
70,W,Flat Coated Retriever,10
60,W,Dachshund,8
70,W,Berner Sennenhund,11
60,M,English Setter,5
50,W,Cavalier King Charles Spaniel,2
70,M,Leonberger,8
70,M,Pudel,5
60,W,Labrador Retriever,9
60,W,Border Collie,4
80,W,Labrador Retriever,11
40,W,Deutsche Dogge,2
60,W,Coton de Tulear,17
50,W,Labrador Retriever,5
70,W,Pointer,11
60,W,Beagle,0
50,W,Dachshund,2
50,W,Chihuahua,6
50,W,Chinese Crested Powderpuff,12
50,W,Chinese Crested Powderpuff,12
50,W,Chinese Crested Powderpuff,10
50,W,Chinese Crested Powderpuff,8
50,W,Chinese Crested Powderpuff,5
50,W,Yorkshire Terrier,3
80,W,Pudel,9
60,M,Zwergschnauzer,3
60,W,Collie,8
60,M,Sibirischer Husky,12
70,M,Chihuahua,11
70,M,Deutscher Schäfer,3
70,M,Samojede,7
50,W,Pudel,12
50,M,Samojede,10
50,M,Samojede,1
50,M,Petit Basset Griffon Vendéen,12
60,M,Französische Bulldogge,4
70,W,Yorkshire Terrier,3
60,W,Jack Russel Terrier,4
60,M,Flat Coated Retriever,8
50,W,Labrador Retriever,11
60,W,Eurasier,9
60,W,Eurasier,1
80,W,Chihuahua,6
70,M,Golden Retriever,8
70,M,Schnauzer,5
80,W,West Highland White Terrier,12
50,W,Malteser,0
70,M,Labrador Retriever,11
70,W,Australian Shepherd,4
70,W,Golden Retriever,9
70,W,Kooikerhondje,6
70,W,Vizsla,13
70,M,Leonberger,9
60,W,Pudel,13
70,M,Berner Sennenhund,8
70,M,Chihuahua,13
60,W,Boxer,1
60,W,Pekingese,6
60,W,Pekingese,5
50,W,Golden Retriever,0
50,W,Mittelschnauzer,1
50,W,Airedale Terrier,8
50,W,Airedale Terrier,8
50,W,Rehpinscher,14
50,W,Zwergpinscher,1
50,W,Jack Russel Terrier,9
50,W,Leonberger,8
50,W,Schäfer,0
80,W,Zwergpudel,16
80,W,Chihuahua,4
80,M,Soft Coated Wheaten Terrier,11
70,W,Cavalier King Charles Spaniel,8
60,W,Entlebucher Sennenhund,7
70,W,Collie,11
80,W,Cocker Spaniel,4
50,W,Volpino Italiano,14
50,W,Alaskan Husky,2
50,W,Chinese Crested,2
50,W,Riesenschnauzer,10
40,W,Jack Russel Terrier,2
40,W,Labrador Retriever,2
50,W,Jack Russel Terrier,4
90,W,Labrador Retriever,6
50,W,Dachshund,4
80,M,Pudel,11
50,W,Yorkshire Terrier,10
70,M,Yorkshire Terrier,7
50,W,Appenzeller,10
50,W,Dogge,9
50,M,Chihuahua,3
40,M,Cocker Spaniel,11
60,W,Bolonka Zwetna,3
60,W,Tibet Terrier,7
70,W,Yorkshire Terrier,12
70,M,Französische Bulldogge,5
70,W,Pinscher,9
50,W,Yorkshire Terrier,3
80,W,Yorkshire Terrier,9
40,M,Flat Coated Retriever,2
40,M,Golden Retriever,2
80,W,Continental Bulldog,2
70,W,Pudel,12
60,M,Basenji,1
70,M,Pinscher,6
70,M,Australian Shepherd,0
70,M,West Highland White Terrier,14
80,W,Pudel,3
70,W,Jack Russel Terrier,8
50,W,Podenco,9
60,W,West Highland White Terrier,16
70,M,Mittelpudel,0
80,W,Papillon,6
40,W,Bobtail (Old English Shepdog),3
50,W,Labrador Retriever,6
60,W,Labrador Retriever,11
50,W,Malteser,8
60,W,Papillon,12
50,W,Katalanischer Hirtenhund,10
80,W,Schäfer,9
50,W,Bergamasker,9
40,W,Landseer,7
50,W,Papillon,12
50,W,Schäfer,0
70,W,West Highland White Terrier,10
40,M,Labrador Retriever,6
70,M,Zwergdackel,10
40,M,Dachshund,7
40,M,Labrador Retriever,7
60,W,Toy Pudel,6
70,M,Border Collie,5
60,W,Papillon,0
70,W,Schnauzer,12
40,W,Afghanischer Windhund,9
40,W,Toyterrier,13
40,W,Collie,6
50,M,Langhaardackel,10
50,M,Flat Coated Retriever,10
30,M,Zwergpinscher,4
60,W,Labrador Retriever,3
40,W,Chihuahua,9
40,W,Chihuahua,4
40,W,Chihuahua,2
80,M,Deutscher Schäfer,5
50,W,Tibet Terrier,8
50,W,Australian Shepherd,2
40,W,Welsh Corgi Cardigan,9
50,M,Deutscher Boxer,1
50,W,Hirtenhund,16
70,W,Cocker Spaniel,2
40,W,Akita,9
40,W,Deutscher Schäfer,11
50,W,Jack Russel Terrier,14
60,M,Appenzeller,13
30,M,Berner Sennenhund,7
50,W,Lhasa Apso,12
50,M,Cocker Spaniel,11
60,M,Dachshund,16
50,W,Australian Shepherd,6
50,W,Jack Russel Terrier,5
60,W,Golden Retriever,1
50,W,Französische Bulldogge,9
50,M,Rottweiler,3
30,M,Jack Russel Terrier,14
70,M,Chihuahua,1
60,W,Appenzeller,15
40,M,Cirneco dell'Etna,8
60,W,Tibet Terrier,2
50,W,Mops,6
40,W,Bergamasker,13
999,M,Boxer,7
40,W,Dachshund,0
50,M,Schäfer,12
80,W,Rauhaar Dackel,15
50,W,Continental Bulldog,1
40,W,Tervueren,2
70,W,Beagle,3
60,W,Labrador Retriever,0
50,W,Groenendael,2
50,M,Labrador Retriever,4
50,W,Bernhardiner,9
70,W,Golden Retriever,10
50,W,Airedale Terrier,3
70,M,Border Collie,11
50,W,Jack Russel Terrier,11
70,M,Skye Terrier,0
70,M,Border Collie,11
70,M,Schweizer Laufhund,10
60,W,Boxer,8
70,M,Golden Retriever,5
60,M,West Highland White Terrier,9
80,W,West Highland White Terrier,12
60,W,Scottish Terrier,8
60,W,Königspudel,5
80,W,Westgotenspitz,15
60,W,Mittelpudel,4
60,W,Bolonka Zwetna,4
80,W,Yorkshire Terrier,7
70,M,Dachshund,15
60,W,Deutscher Schäfer,9
60,W,Deutscher Schäfer,4
80,W,Toy Pudel,12
80,W,Papillon,12
40,W,Bolonka Zwetna,4
40,W,Bordeauxdogge,0
40,W,Shih Tzu,7
80,M,Border Collie,10
70,M,Appenzeller,14
60,M,Schnauzer,9
70,M,Appenzeller,9
50,M,Labrador Retriever,14
60,M,Labrador Retriever,8
40,W,Petit Basset Griffon Vendéen,9
40,W,Schäfer,8
60,W,Tibet Terrier,10
60,W,Bearded Collie,5
50,W,English Springer Spaniel,7
70,W,English Cocker Spaniel,11
50,W,Berner Sennenhund,0
50,W,Jack Russel Terrier,12
70,W,Deutscher Schäfer,8
50,M,Deutscher Langhaarschäfer,8
70,W,Samojede,5
70,W,Cavalier King Charles Spaniel,8
70,W,Shih Tzu,9
80,W,Langhaardackel,7
60,M,Bergamasker,12
60,M,Golden Retriever,0
40,W,English Setter,3
50,W,Deutsche Dogge,0
60,M,Airedale Terrier,10
60,W,Irish Wolfhound,4
60,W,Podenco,11
60,W,Podenco,16
70,M,Pekingese,5
50,M,Afghanischer Windhund,8
60,W,Labrador Retriever,9
50,W,Appenzeller,15
60,W,Havaneser,2
70,M,Skye Terrier,0
70,W,Pudel,4
60,W,Flat Coated Retriever,5
80,W,Border Collie,14
60,W,Vizsla,9
50,W,Schnauzer,14
60,M,Mittelschnauzer,8
40,W,Boxer,12
40,W,Französische Bulldogge,0
50,W,Labrador Retriever,16
50,W,Galgo,8
50,W,Mittelpudel,10
70,M,Sheltie,10
70,M,Vorstehhund,9
50,W,Deutscher Schäfer,2
70,W,Welsh Terrier,10
70,M,Cocker Spaniel,14
50,M,Deutscher Schäfer,7
50,W,Mops,1
50,W,Mops,1
80,M,Chihuahua,5
60,W,Tervueren,5
50,W,Appenzeller Sennenhund,3
50,W,Labrador Retriever,8
70,W,Yorkshire Terrier,4
60,W,Dachshund,17
50,W,Afghanischer Windhund,5
70,W,Deerhound,8
60,W,Jack Russel Terrier,3
50,W,Chihuahua,5
80,W,Papillon,13
90,W,Berner Sennenhund,16
70,W,Pekingese,10
50,M,Collie,12
60,W,Appenzeller,12
60,W,Berner Sennenhund,7
90,W,Yorkshire Terrier,14
70,W,Toy Pudel,8
50,W,Deutscher Boxer,8
40,W,Bergamasker,10
90,M,Pudel,14
70,W,Dachsbracke,10
60,W,Scottish Terrier,11
40,W,Lagotto Romagnolo,9
50,M,Foxterrier,0
70,W,Labrador Retriever,3
60,M,Cocker Spaniel,2
70,W,Pudel,9
70,W,Chihuahua,6
50,W,Pekingese,14
50,W,Bergamasker,1
60,W,Toypudel,9
60,W,Labrador Retriever,5
50,W,Mops,4
50,M,Deutscher Schäfer,3
50,W,Labrador Retriever,2
50,W,Welsh Corgi Pembroke,10
50,W,Labrador Retriever,0
70,W,Labrador Retriever,13
60,M,Kooikerhondje,9
70,W,American Cocker Spaniel,7
80,W,Malteser,2
40,W,Galgo Espanol,10
50,W,Chihuahua,13
50,W,Chihuahua,0
50,W,Jack Russel Terrier,10
50,W,Pudel,3
50,W,Bolonka Zwetna,0
60,M,Havaneser,8
60,M,Schäfer,12
60,W,Tibet Terrier,1
60,W,Yorkshire Terrier,14
40,W,Cavalier King Charles Spaniel,2
50,W,Labrador Retriever,2
60,W,Chihuahua,5
80,W,Border Collie,13
50,W,Labrador Retriever,8
60,W,Berner Sennenhund,6
60,M,Bobtail (Old English Shepdog),10
50,W,Labrador Retriever,17
80,W,Bolonka Zwetna,6
60,W,Dachshund,8
80,W,Border Collie,12
80,W,Zwergpudel,8
70,W,Rauhaar Dackel,2
60,M,Berner Sennenhund,1
60,W,Collie,9
60,W,Dachshund,5
60,W,Pudel,9
